Country,Actual,Predicted
Moldova,2.054794520547945,1.7911497240432697
Ukraine,1.917808219178082,1.7189381180954024
Slovakia,3.5616438356164384,3.7419262109275087
Switzerland,4.520547945205479,4.497121337896965
Italy,2.4657534246575343,2.438527472794604
Russia,0.821917808219178,0.8915131470701176
Ireland,4.931506849315069,5.077797069673503
Serbia,3.698630136986301,3.807575315560975
Belgium,6.849315068493151,7.014450621246499
